Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4",1206,2,4.7uF 50V 1206 X7R,
"C2, C5, C6",1206,3,100nF 50V 1206 X7R,
"C3, C7, C8",1206,3,10nF 50V 1206 X7R,
C9,1206,1,220nF 50V 1206 X7R,
J1,2EDG-5.08mm_2P_Horizontal,1,Power_Input,
"J2, J3, J4, J5",AMASS_24.245,4,Analog_Input,
J6,2EDG-5.08mm_8P_Horizontal,1,Digital_IO,
L1,Inductor_Coupled_THT_UF16,1,UF16 200mH,
"L2, L3",Inductor_THT_10x16,2,10*16 100mH,
"R1, R2",1206,2,82R 1206,
U1,TSSOP-20_4.4x6.5mm_P0.65mm,1,ADS131M02_TSSOP20,
U2,SOT-23-5,1,LP2985-3.3,
