Designator,Mid X,Mid Y,Rotation,Layer
C1,125.525,-48.465,90.0,top
C2,122.985,-48.465,90.0,top
C3,115.365,-45.515,270.0,top
C4,116.635,-50.8,180.0,top
C5,120.65,-70.485,180.0,top
C6,115.57,-70.485,0.0,top
C7,110.49,-72.39,270.0,top
C8,110.49,-77.47,90.0,top
C9,124.46,-71.755,90.0,top
J1,133.35,-95.25,90.0,top
J2,99.06,-55.88,0.0,top
J3,99.06,-68.58,0.0,top
J4,99.06,-93.98,0.0,top
J5,99.06,-81.28,0.0,top
J6,133.35,-69.85,90.0,top
L1,118.11,-97.79,90.0,top
L2,124.46,-58.42,270.0,top
L3,111.76,-58.42,270.0,top
R1,110.49,-67.31,270.0,top
R2,110.49,-82.55,90.0,top
U1,118.11,-75.565,0.0,top
U2,119.175,-46.99,180.0,top
